ra,dec,z,z_err,v,v_err,radius_deg,radius_Mpc,v_offset,flag_member
63.49084,-38.111153,0.050708,0.00015,15201.876,44.968869,0.009018,0.031961,255.869,0
63.49097,-38.107746,0.051852,0.000207,15544.839,62.057039,0.009244,0.032762,582.558,0
63.508247,-38.0976,0.050775,0.00013,15221.962,38.97302,0.013569,0.048089,275.002,0
63.494987,-38.097355,0.049814,0.00011,14933.862,32.97717,0.014172,0.050227,0.571,0
63.49744,-38.090485,0.04896,0.000167,14677.839,50.06534,0.020196,0.071576,-243.304,0
63.549545,-38.12709,0.049002,0.000297,14690.43,89.03836,0.040814,0.144644,-231.31,0
63.478485,-38.15765,0.050317,0.000297,15084.657,89.03836,0.050888,0.180347,144.212,0
63.465897,-38.16372,0.048734,0.000434,14610.086,99.99,0.060577,0.214684,-307.842,0
63.58117,-38.091465,0.0536,0.000213,16068.876,63.855794,0.064894,0.229986,1081.731,0
63.591446,-38.08872,0.050162,0.000297,15038.189,89.03836,0.073429,0.260233,99.949,0
63.43487,-38.204933,0.050487,0.000297,15135.622,89.03836,0.108453,0.384358,192.758,0
63.40134,-38.0279,0.049098,0.000297,14719.21,89.03836,0.114447,0.4056,-203.895,0
63.33823,-38.098633,0.0509,0.000213,15259.436,63.855794,0.129586,0.459253,310.698,0
63.44346,-38.239307,0.05146,0.00015,15427.32,44.968869,0.137029,0.485631,470.616,0
63.327827,-38.06797,0.0492,0.000213,14749.789,63.855794,0.143629,0.509023,-174.767,0
63.688972,-38.172215,0.053045,0.000297,15902.491,89.03836,0.15942,0.564985,923.241,0
63.668106,-38.013813,0.051195,0.000297,15347.875,89.03836,0.162307,0.575219,394.94,0
63.5332,-38.27831,0.050061,0.00015,15007.91,44.968869,0.169743,0.60157,71.106,0
63.29144,-38.059757,0.050099,0.000297,15019.302,89.03836,0.173409,0.614563,81.958,0
63.695377,-38.008358,0.052893,0.000297,15856.922,89.03836,0.182995,0.648535,879.834,0
63.718616,-38.04097,0.053432,0.000297,16018.511,89.03836,0.183824,0.651475,1033.755,0
63.45098,-37.917522,0.0477,0.000213,14300.1,63.855794,0.196977,0.698087,-603.119,0
63.717125,-37.987861,0.048928,0.000213,14668.245,63.855794,0.208759,0.739845,-252.442,0
63.771427,-38.05326,0.053559,0.000213,16056.584,63.855794,0.219345,0.777361,1070.022,0
63.215385,-38.108994,0.0494,0.000213,14809.747,63.855794,0.225718,0.799949,-117.654,0
63.199593,-38.16325,0.0488,0.000213,14629.872,63.855794,0.243951,0.864564,-288.995,0
63.657795,-37.894493,0.0504,0.00041,15109.54,99.99,0.248114,0.879318,167.914,0
63.308952,-37.90301,0.053237,0.00015,15960.051,44.968869,0.257121,0.91124,978.07,0
63.725086,-38.2984,0.0516,0.000213,15469.291,63.855794,0.257126,0.911257,510.595,0
63.209217,-38.242714,0.051417,0.000297,15414.429,89.03836,0.265874,0.94226,458.336,0
63.210884,-38.25286,0.049458,0.000173,14827.135,51.864095,0.269954,0.95672,-101.091,0
63.85277,-38.15425,0.053005,0.000297,15890.499,89.03836,0.279271,0.989741,911.818,0
63.41687,-37.83924,0.0522,0.000213,15649.166,63.855794,0.279284,0.989784,681.936,0
