ra,dec,z,z_err,v,v_err,radius_deg,radius_Mpc,v_offset,flag_member
139.9953,0.960781,0.017953,1e-06,5382.174,0.299792,0.04442,0.056085,210.719,0
139.99365,0.963025,0.017777,4e-06,5329.411,1.19917,0.044498,0.056184,158.85,0
140.00903,1.038345,0.017026,6e-06,5104.266,1.798755,0.055663,0.070281,-62.479,0
139.99876,0.930951,0.017288,5e-06,5182.812,1.498962,0.064841,0.081869,14.736,0
139.97993,0.94518,0.017684,5e-06,5301.53,1.498962,0.066141,0.083511,131.442,0
139.98827,0.935959,0.017296,6e-06,5185.21,1.798755,0.066726,0.08425,17.093,0
140.1312,0.937,0.018413,7e-06,5520.079,2.098547,0.112051,0.141478,346.287,0
139.93488,0.913421,0.017205,3.8e-05,5157.929,11.392113,0.121171,0.152993,-9.726,0
139.99374,0.8675,0.017165,8.7e-05,5145.938,26.081944,0.125371,0.158296,-21.514,0
140.01062,1.127878,0.016303,4.7e-05,4887.516,14.090246,0.142143,0.179472,-275.556,0
140.0523,1.152291,0.016461,6.9e-05,4934.884,20.68568,0.166453,0.210166,-228.991,0
140.09077,0.826237,0.017706,2.6e-05,5308.125,7.794604,0.1717,0.216791,137.925,0
140.07883,1.154006,0.017002,5.8e-05,5097.071,17.387963,0.173518,0.219087,-69.552,0
140.09157,0.823354,0.017858,1.2e-05,5353.694,3.597509,0.174681,0.220556,182.722,0
140.0924,0.820501,0.01798,6e-06,5390.268,1.798755,0.177645,0.224298,218.676,0
140.16705,1.129811,0.016329,9.1e-05,4895.311,27.281114,0.197073,0.248828,-267.893,0
140.15508,0.82278,0.017453,5e-06,5232.278,1.498962,0.205971,0.260063,63.363,0
140.25694,0.924407,0.016581,3e-06,4970.859,0.899377,0.234462,0.296036,-193.626,0
139.79327,1.055471,0.018245,4.1e-05,5469.713,12.291491,0.247314,0.312264,296.775,0
140.13864,0.721055,0.017158,9e-06,5143.839,2.698132,0.287083,0.362476,-23.577,0
140.06503,1.288849,0.017534,5e-06,5256.561,1.498962,0.303556,0.383275,87.235,0
139.70074,0.947634,0.016624,1.1e-05,4983.75,3.297717,0.332584,0.419928,-180.953,0
139.92558,1.325806,0.016495,2.6e-05,4945.077,7.794604,0.354631,0.447764,-218.971,0
139.71242,0.777527,0.017826,4e-06,5344.1,1.19917,0.381359,0.481512,173.291,0
139.77623,0.677639,0.017603,2.1e-05,5277.247,6.295642,0.400905,0.506191,107.57,0
140.43794,1.241186,0.016528,9e-06,4954.97,2.698132,0.479634,0.605595,-209.246,0
140.04373,1.479348,0.017613,3.2e-05,5280.245,9.593359,0.492307,0.621597,110.517,0
139.63097,1.334294,0.017453,3.5e-05,5232.278,10.492736,0.529581,0.668659,63.363,0
140.29295,1.472712,0.016361,7e-06,4904.904,2.098547,0.551642,0.696514,-258.463,0
140.12599,0.438523,0.017162,1.7e-05,5145.038,5.096472,0.55684,0.703076,-22.398,0
139.53001,0.724065,0.016872,5.7e-05,5058.098,17.08817,0.565836,0.714435,-107.865,0
140.14325,1.551113,0.016637,3e-06,4987.647,0.899377,0.574966,0.725964,-177.122,0
140.39037,1.586729,0.016352,4.2e-05,4902.206,12.591283,0.698949,0.882507,-261.115,0
140.38852,1.58967,0.016333,1.2e-05,4896.51,3.597509,0.700528,0.8845,-266.715,0
140.33926,0.353692,0.016452,2.4e-05,4932.186,7.195019,0.704505,0.889522,-231.644,0
139.56853,0.385029,0.017118,1e-06,5131.847,0.299792,0.759237,0.958628,-35.365,0
140.06491,1.78788,0.016839,1.6e-05,5048.205,4.796679,0.801392,1.011853,-117.59,0
139.73073,1.75155,0.017365,0.000333,5205.896,99.830889,0.821197,1.03686,37.428,0
140.73723,1.434009,0.017497,4e-06,5245.469,1.19917,0.835602,1.055048,76.33,0
140.74933,1.458574,0.016848,7.5e-05,5050.903,22.484434,0.85908,1.084691,-114.938,0
139.75677,0.171708,0.017547,5e-06,5260.458,1.498962,0.860361,1.086309,91.066,0
140.12483,1.848715,0.016744,1e-06,5019.725,0.299792,0.866602,1.094188,-145.588,0
140.96814,0.815809,0.016937,6e-06,5077.585,1.798755,0.952537,1.202692,-88.708,0
139.37509,0.256219,0.01704,4e-06,5108.463,1.19917,0.982062,1.23997,-58.353,0
139.17575,0.2056,0.016896,2e-06,5065.293,0.599585,1.158517,1.462766,-100.792,0
140.80508,2.060168,0.017266,4e-06,5176.217,1.19917,1.322972,1.67041,8.252,0
139.46707,-0.272582,0.017061,2.3e-05,5114.759,6.895227,1.380217,1.742689,-52.164,0
139.46179,-0.278463,0.01749,2e-06,5243.37,0.599585,1.387743,1.752192,74.267,0
139.45618,-0.28042,0.01787,0.000333,5357.291,99.830889,1.391835,1.757359,186.258,0
139.45396,-0.284543,0.017941,3e-06,5378.576,0.899377,1.396507,1.763257,207.183,0
139.2106,-0.17641,0.017146,8.1e-05,5140.241,24.283189,1.423683,1.79757,-27.114,0
141.29443,1.653872,0.017221,1e-06,5162.726,0.299792,1.428355,1.803469,-5.01,0
140.90355,2.131425,0.017168,1e-06,5146.837,0.299792,1.438867,1.816741,-20.63,0
140.89848,2.139013,0.016764,1e-06,5025.721,0.299792,1.441853,1.820512,-139.694,0
140.90215,2.136535,0.016913,5e-06,5070.39,1.498962,1.442088,1.820808,-95.781,0
139.2766,-0.267488,0.017459,6e-06,5234.077,1.798755,1.463975,1.848443,65.131,0
139.26425,-0.298137,0.016669,2e-06,4997.24,0.599585,1.496613,1.889653,-167.691,0
139.33882,-0.454223,0.016855,1e-06,5053.002,0.299792,1.598969,2.018889,-112.875,0
141.68639,1.154321,0.016938,1.3e-05,5077.885,3.897302,1.663549,2.100429,-88.414,0
140.7799,2.484773,0.017142,9e-06,5139.042,2.698132,1.674329,2.114041,-28.292,0
140.78377,2.485935,0.017232,3e-06,5166.024,0.899377,1.677102,2.117541,-1.768,0
139.39557,-0.582619,0.016789,9e-06,5033.216,2.698132,1.693521,2.138272,-132.326,0
141.35216,2.06372,0.01717,9e-06,5147.437,2.698132,1.704054,2.151572,-20.04,0
139.45332,-0.630307,0.016932,8e-06,5076.086,2.39834,1.717549,2.16861,-90.182,0
139.36458,-0.617731,0.016924,5e-06,5073.688,1.498962,1.737762,2.194133,-92.54,0
139.37091,-0.620676,0.016576,8e-06,4969.36,2.39834,1.738069,2.19452,-195.099,0
141.43834,-0.116094,0.017121,2e-06,5132.747,0.599585,1.788087,2.257674,-34.481,0
140.80566,2.601339,0.016738,1e-05,5017.926,2.997925,1.790344,2.260523,-147.356,0
141.4857,-0.084949,0.017348,5e-06,5200.8,1.498962,1.806933,2.281469,32.418,0
140.94318,2.753039,0.016856,2e-06,5053.302,0.599585,1.987454,2.509399,-112.58,0
140.94066,2.756619,0.016725,2e-06,5014.029,0.599585,1.989483,2.51196,-151.187,0
141.10313,2.733374,0.016845,7e-06,5050.004,2.098547,2.048952,2.587047,-115.822,0
141.61757,2.300304,0.017468,1e-06,5236.775,0.299792,2.059284,2.600092,67.784,0
141.06554,2.829676,0.016737,8e-06,5017.626,2.39834,2.112968,2.667874,-147.651,0
142.14557,0.956045,0.017433,8e-06,5226.282,2.39834,2.114475,2.669777,57.469,0
139.49171,-1.062496,0.016953,4e-06,5082.382,1.19917,2.119442,2.676049,-83.993,0
138.64993,-0.77191,0.017577,1.7e-05,5269.452,5.096472,2.23636,2.823671,99.907,0
142.36032,1.053925,0.017497,1.7e-05,5245.469,5.096472,2.329919,2.941801,76.33,0
141.60008,2.887161,0.017563,2.4e-05,5265.255,7.195019,2.463956,3.111039,95.781,0
141.39223,-1.141049,0.017371,6e-06,5207.695,1.798755,2.526229,3.189666,39.197,0
141.23485,3.224662,0.017044,1e-06,5109.663,0.299792,2.540672,3.207902,-57.174,0
137.43945,1.793664,0.016649,7e-06,4991.245,2.098547,2.713774,3.426464,-173.585,0
142.30125,2.477196,0.016729,5e-06,5015.228,1.498962,2.71524,3.428315,-150.009,0
140.16023,3.756435,0.0173,1.2e-05,5186.41,3.597509,2.772242,3.500287,18.272,0
140.35889,3.918841,0.016709,7e-06,5009.232,2.098547,2.949909,3.724613,-155.903,0
140.58955,4.061226,0.017705,3e-06,5307.825,0.899377,3.124336,3.944848,137.631,0
141.96251,3.473705,0.017649,5e-06,5291.037,1.498962,3.148375,3.975199,121.127,0
138.21567,-1.590454,0.017082,1.2e-05,5121.055,3.597509,3.152588,3.980519,-45.975,0
141.97679,3.698976,0.01769,1.3e-05,5303.329,3.897302,3.337459,4.213941,133.21,0
143.09628,2.547605,0.017464,1.1e-05,5235.575,3.297717,3.439176,4.342371,66.605,0
141.87006,3.92962,0.01777,3e-06,5327.312,0.899377,3.469712,4.380926,156.787,0
137.99954,-1.95143,0.01712,0.000333,5132.447,99.830889,3.572286,4.510438,-34.776,0
137.89787,-1.9342,0.01713,0.000333,5135.445,99.830889,3.617119,4.567045,-31.829,0
139.47113,-2.608978,0.017631,8e-06,5285.641,2.39834,3.639493,4.595294,115.822,0
136.4559,0.13775,0.016667,2e-05,4996.641,5.995849,3.674126,4.639023,-168.281,0
