Field,n_objects
SPLUS-n03s02,9
SPLUS-n03s03,195
SPLUS-n03s04,502
SPLUS-n03s05,381
SPLUS-n03s06,113
SPLUS-n04s02,317
SPLUS-n04s03,574
SPLUS-n04s04,811
SPLUS-n04s05,691
SPLUS-n04s06,394
SPLUS-n04s07,30
SPLUS-n05s02,552
SPLUS-n05s03,736
SPLUS-n05s04,555
SPLUS-n05s05,844
SPLUS-n05s06,392
SPLUS-n05s07,460
SPLUS-n05s08,39
SPLUS-n06s02,475
SPLUS-n06s03,527
SPLUS-n06s04,558
SPLUS-n06s05,856
SPLUS-n06s06,520
SPLUS-n06s07,508
SPLUS-n06s08,78
SPLUS-n07s02,532
SPLUS-n07s03,683
SPLUS-n07s04,796
SPLUS-n07s05,603
SPLUS-n07s06,588
SPLUS-n07s07,232
SPLUS-n08s02,318
SPLUS-n08s03,760
SPLUS-n08s04,577
SPLUS-n08s05,593
SPLUS-n08s06,210
SPLUS-n09s03,5
SPLUS-n09s04,115
SPLUS-n09s05,101
SPLUS-n09s06,1
