Field,n_objects
SPLUS-n01s47,79
SPLUS-n01s48,212
SPLUS-n01s49,208
SPLUS-n01s50,276
SPLUS-n01s51,227
SPLUS-n01s52,144
SPLUS-n01s53,107
SPLUS-n01s54,201
SPLUS-n01s55,137
SPLUS-n02n47,263
SPLUS-n02n48,358
SPLUS-n02n49,225
SPLUS-n02n50,211
SPLUS-n02n51,196
SPLUS-n02n52,95
SPLUS-n02n53,152
SPLUS-n02n54,148
SPLUS-n02n55,202
SPLUS-n02s47,6
SPLUS-n02s48,147
SPLUS-n02s49,214
SPLUS-n02s50,258
SPLUS-n02s51,259
SPLUS-n02s52,181
SPLUS-n02s53,195
SPLUS-n02s54,139
SPLUS-n02s55,185
SPLUS-n03n51,218
SPLUS-n03n52,202
SPLUS-n03n53,150
SPLUS-n03n54,197
SPLUS-n03n55,150
SPLUS-n04n51,246
SPLUS-n04n52,272
SPLUS-n04n53,208
SPLUS-n04n54,198
SPLUS-n04n55,136
SPLUS-n05n50,213
SPLUS-n05n51,188
SPLUS-n05n52,205
SPLUS-n05n53,162
SPLUS-n05n54,126
SPLUS-n05n55,212
