Field,n_objects
HYDRA-0035,108
HYDRA-0036,128
HYDRA-0037,26
HYDRA-0041,253
HYDRA-0044,337
HYDRA-0045,548
HYDRA-0048,165
HYDRA-0050,328
HYDRA-0052,268
HYDRA-0053,244
HYDRA-0055,374
HYDRA-0056,441
HYDRA-0061,286
HYDRA-0062,227
HYDRA-0064,225
HYDRA-0069,220
HYDRA-0070,204
HYDRA-0075,233
HYDRA-0077,219
HYDRA-0084,204
HYDRA-0085,289
HYDRA-0086,207
HYDRA-0093,273
HYDRA-0095,152
HYDRA-0096,196
HYDRA-0102,207
HYDRA-0103,261
HYDRA-0104,237
HYDRA-0111,247
HYDRA-0112,266
HYDRA-0120,196
HYDRA-0121,253
HYDRA-0129,262
HYDRA-0136,218
HYDRA-0137,341
HYDRA-D-0001,365
HYDRA-D-0002,247
HYDRA-D-0003,241
HYDRA-D-0004,226
HYDRA_0032,33
HYDRA_0033,85
HYDRA_0034,101
HYDRA_0040,279
HYDRA_0042,251
HYDRA_0043,260
HYDRA_0046,311
HYDRA_0047,227
HYDRA_0049,336
HYDRA_0051,200
HYDRA_0054,265
HYDRA_0057,378
HYDRA_0058,269
HYDRA_0059,369
HYDRA_0060,319
HYDRA_0063,179
HYDRA_0065,232
HYDRA_0066,196
HYDRA_0067,268
HYDRA_0068,265
HYDRA_0071,243
HYDRA_0072,172
HYDRA_0073,211
HYDRA_0074,185
HYDRA_0076,281
HYDRA_0078,292
HYDRA_0079,261
HYDRA_0080,309
HYDRA_0081,265
HYDRA_0082,237
HYDRA_0083,197
HYDRA_0087,229
HYDRA_0088,276
HYDRA_0089,155
HYDRA_0091,171
HYDRA_0092,230
HYDRA_0094,225
HYDRA_0097,212
HYDRA_0098,153
HYDRA_0099,169
HYDRA_0100,165
HYDRA_0101,178
HYDRA_0105,168
HYDRA_0106,235
HYDRA_0107,140
HYDRA_0108,148
HYDRA_0109,161
HYDRA_0110,170
HYDRA_0113,300
HYDRA_0114,209
HYDRA_0115,196
HYDRA_0116,176
HYDRA_0117,165
HYDRA_0118,174
HYDRA_0119,121
HYDRA_0122,304
HYDRA_0123,195
HYDRA_0124,200
HYDRA_0125,209
HYDRA_0126,318
HYDRA_0127,235
HYDRA_0128,160
HYDRA_0130,320
HYDRA_0131,235
HYDRA_0132,222
HYDRA_0133,214
HYDRA_0134,248
HYDRA_0135,263
HYDRA_0138,287
HYDRA_0139,275
HYDRA_0140,217
HYDRA_0141,220
HYDRA_0142,241
HYDRA_0143,430
HYDRA_0144,222
HYDRA_0145,348
HYDRA_0146,272
HYDRA_0147,248
HYDRA_0148,227
HYDRA_0149,276
HYDRA_0150,378
HYDRA_0151,311
HYDRA_0152,454
HYDRA_0153,327
HYDRA_0154,314
HYDRA_0155,342
HYDRA_0156,262
HYDRA_0157,467
HYDRA_0158,438
HYDRA_0159,360
HYDRA_0160,681
HYDRA_0161,503
HYDRA_0162,519
HYDRA_0163,326
HYDRA_0164,390
HYDRA_0165,478
HYDRA_0166,493
HYDRA_0167,498
