Field,n_objects
HYDRA-0031,20
HYDRA-0035,205
HYDRA-0036,311
HYDRA-0037,157
HYDRA-0041,194
HYDRA-0044,260
HYDRA-0045,442
HYDRA-0048,139
HYDRA-0050,255
HYDRA-0052,217
HYDRA-0053,177
HYDRA-0055,298
HYDRA-0056,361
HYDRA-0061,227
HYDRA-0062,174
HYDRA-0064,185
HYDRA-0069,203
HYDRA-0070,159
HYDRA-0075,180
HYDRA-0077,213
HYDRA-0084,156
HYDRA-0085,221
HYDRA-0086,188
HYDRA-0093,212
HYDRA-0095,145
HYDRA-0096,190
HYDRA-0102,143
HYDRA-0103,256
HYDRA-0104,231
HYDRA-0111,218
HYDRA-0112,264
HYDRA-0120,195
HYDRA-0121,247
HYDRA-0129,255
HYDRA-0136,210
HYDRA-0137,179
HYDRA-D-0001,326
HYDRA-D-0002,230
HYDRA-D-0003,233
HYDRA-D-0004,217
HYDRA_0024,3
HYDRA_0025,10
HYDRA_0032,113
HYDRA_0033,222
HYDRA_0034,342
HYDRA_0038,28
HYDRA_0040,220
HYDRA_0042,210
HYDRA_0043,223
HYDRA_0046,270
HYDRA_0047,210
HYDRA_0049,286
HYDRA_0051,151
HYDRA_0054,205
HYDRA_0057,319
HYDRA_0058,218
HYDRA_0059,338
HYDRA_0060,254
HYDRA_0063,140
HYDRA_0065,181
HYDRA_0066,163
HYDRA_0067,207
HYDRA_0068,260
HYDRA_0071,198
HYDRA_0072,142
HYDRA_0073,173
HYDRA_0074,148
HYDRA_0076,230
HYDRA_0078,279
HYDRA_0079,251
HYDRA_0080,290
HYDRA_0081,222
HYDRA_0082,191
HYDRA_0083,158
HYDRA_0087,227
HYDRA_0088,274
HYDRA_0089,152
HYDRA_0091,141
HYDRA_0092,198
HYDRA_0094,177
HYDRA_0097,208
HYDRA_0098,149
HYDRA_0099,164
HYDRA_0100,146
HYDRA_0101,157
HYDRA_0105,164
HYDRA_0106,233
HYDRA_0107,135
HYDRA_0108,144
HYDRA_0109,158
HYDRA_0110,154
HYDRA_0113,292
HYDRA_0114,203
HYDRA_0115,192
HYDRA_0116,173
HYDRA_0117,159
HYDRA_0118,170
HYDRA_0119,118
HYDRA_0122,301
HYDRA_0123,189
HYDRA_0124,199
HYDRA_0125,207
HYDRA_0126,311
HYDRA_0127,227
HYDRA_0128,153
HYDRA_0130,313
HYDRA_0131,234
HYDRA_0132,220
HYDRA_0133,209
HYDRA_0134,239
HYDRA_0135,262
HYDRA_0138,283
HYDRA_0139,273
HYDRA_0140,214
HYDRA_0141,218
HYDRA_0142,238
HYDRA_0143,418
HYDRA_0144,181
HYDRA_0145,37
HYDRA_0146,124
HYDRA_0147,189
HYDRA_0148,196
HYDRA_0149,214
HYDRA_0150,180
HYDRA_0151,25
