ra,dec,z,z_err,v,v_err,radius_deg,radius_Mpc,v_offset,flag_member
324.28146,0.452595,0.050102,1.4e-05,15020.202,4.197094,0.006204,0.022479,-256.15,0
324.28488,0.44642,0.050722,9e-06,15206.073,2.698132,0.007043,0.025519,-79.298,0
324.2666,0.433047,0.051333,4.4e-05,15389.246,13.190868,0.018358,0.066517,94.987,0
324.2599,0.428242,0.050925,1.4e-05,15266.931,4.197094,0.026374,0.09556,-21.393,0
324.27072,0.478889,0.050328,1.3e-05,15087.955,3.897302,0.032204,0.116685,-191.685,0
324.304,0.410873,0.051338,1.2e-05,15390.745,3.597509,0.044963,0.162914,96.413,0
324.229,0.452454,0.051624,5e-05,15476.486,14.989623,0.049169,0.178153,177.993,0
324.25745,0.400714,0.04918,2e-05,14743.793,5.995849,0.051068,0.185034,-519.146,0
324.33017,0.443746,0.050507,2.2e-05,15141.618,6.595434,0.052383,0.1898,-140.626,0
324.2985,0.395199,0.051261,3.1e-05,15367.661,9.293566,0.056204,0.203644,74.449,0
324.33453,0.404753,0.053234,3.1e-05,15959.152,9.293566,0.070935,0.257019,637.237,0
324.2888,0.522441,0.050542,1.4e-05,15152.11,4.197094,0.075727,0.27438,-130.642,0
324.342,0.396285,0.050269,8e-06,15070.267,2.39834,0.08203,0.29722,-208.514,0
324.34607,0.494468,0.051063,2.6e-05,15308.302,7.794604,0.082766,0.299884,17.97,0
324.32227,0.348298,0.050825,1.6e-05,15236.952,4.796679,0.108664,0.393722,-49.918,0
324.38562,0.466721,0.05285,1.6e-05,15844.031,4.796679,0.109398,0.396383,527.703,0
324.37674,0.385916,0.050307,1e-05,15081.659,2.997925,0.116436,0.421883,-197.675,0
324.2057,0.539325,0.051837,5e-06,15540.342,1.498962,0.116821,0.423279,238.75,0
324.16415,0.398211,0.049491,6e-06,14837.029,1.798755,0.123985,0.449234,-430.435,0
324.3873,0.384442,0.051517,1.5e-05,15444.408,4.496887,0.126252,0.457449,147.472,0
324.15112,0.479626,0.053204,2e-06,15950.158,0.599585,0.130803,0.473937,628.68,0
324.4151,0.381113,0.049629,3.7e-05,14878.4,11.092321,0.152396,0.552175,-391.071,0
324.13947,0.371218,0.050584,1.2e-05,15164.702,3.597509,0.15807,0.572735,-118.662,0
324.43213,0.523801,0.052355,6e-06,15695.634,1.798755,0.17205,0.623388,386.507,0
324.19315,0.263044,0.05098,1.4e-05,15283.42,4.197094,0.203001,0.735534,-5.705,0
324.14932,0.271696,0.050847,0.000145,15243.547,43.469906,0.217816,0.789214,-43.642,0
324.21893,0.661261,0.051661,9.2e-05,15487.578,27.580906,0.221751,0.803469,188.547,0
324.50186,0.443945,0.050404,5.2e-05,15110.739,15.589208,0.223961,0.811479,-170.006,0
324.42798,0.271005,0.049094,1.3e-05,14718.011,3.897302,0.231662,0.839379,-543.677,0
324.4184,0.231235,0.0502,1e-05,15049.581,2.997925,0.257884,0.93439,-228.196,0
324.53296,0.505995,0.048887,2.9e-05,14655.954,8.693981,0.261655,0.948053,-602.723,0
324.00827,0.499048,0.051269,3e-05,15370.06,8.993774,0.274525,0.994686,76.731,0
324.39777,0.695994,0.051684,1.2e-05,15494.473,3.597509,0.275885,0.999613,195.108,0
324.55588,0.446777,0.050547,1.3e-05,15153.609,3.897302,0.277952,1.007105,-129.216,0
324.47794,0.251465,0.051622,5e-06,15475.886,1.498962,0.280063,1.014752,177.422,0
324.00064,0.406056,0.050369,2.6e-05,15100.246,7.794604,0.280352,1.015798,-179.99,0
324.0166,0.329947,0.050965,1.1e-05,15278.923,3.297717,0.286536,1.038204,-9.984,0
324.15073,0.183627,0.051534,1.4e-05,15449.505,4.197094,0.292925,1.061356,152.321,0
324.0304,0.634116,0.051929,5e-06,15567.923,1.498962,0.309981,1.123152,264.993,0
324.48245,0.198257,0.051126,1.8e-05,15327.189,5.396264,0.322416,1.168209,35.941,0
324.033,0.227275,0.051194,2.4e-05,15347.575,7.195019,0.329365,1.193387,55.338,0
324.09915,0.748698,0.050788,3.5e-05,15225.859,10.492736,0.350253,1.269071,-60.472,0
323.9456,0.325133,0.050629,1.9e-05,15178.192,5.696057,0.354124,1.283096,-105.826,0
324.5964,0.625214,0.051668,6e-06,15489.677,1.798755,0.364699,1.321415,190.544,0
323.95834,0.267801,0.050984,1.1e-05,15284.619,3.297717,0.366629,1.328407,-4.564,0
323.9227,0.561652,0.050222,9e-06,15056.177,2.698132,0.373101,1.351856,-221.921,0
324.5948,0.226282,0.049113,1e-05,14723.707,2.997925,0.386451,1.400227,-538.257,0
323.89917,0.60206,0.051472,1.9e-05,15430.917,5.696057,0.409062,1.482154,134.636,0
324.02808,0.802108,0.050777,1.3e-05,15222.562,3.897302,0.433778,1.571706,-63.61,0
324.1259,0.874732,0.051571,2.1e-05,15460.597,6.295642,0.453471,1.643061,162.875,0
324.42816,0.877205,0.051792,8e-06,15526.851,2.39834,0.455211,1.649366,225.914,0
324.09964,0.88742,0.05001,5e-06,14992.621,1.498962,0.47467,1.719871,-282.393,0
324.43668,-0.003137,0.049855,3e-06,14946.153,0.899377,0.477783,1.731152,-326.605,0
323.7909,0.559997,0.049288,1.3e-05,14776.171,3.897302,0.49983,1.811032,-488.339,0
324.7567,0.626655,0.050517,2.1e-05,15144.616,6.295642,0.511188,1.852186,-137.773,0
324.75674,0.62696,0.050569,3.3e-05,15160.205,9.893151,0.511332,1.852709,-122.941,0
323.82693,0.706628,0.049888,8e-06,14956.046,2.39834,0.520122,1.884558,-317.192,0
323.7781,0.721208,0.051073,1.1e-05,15311.3,3.297717,0.569843,2.064711,20.823,0
324.15546,-0.124824,0.050222,1.8e-05,15056.177,5.396264,0.585278,2.120637,-221.921,0
324.28232,-0.147929,0.051938,2e-06,15570.621,0.599585,0.595445,2.157476,267.56,0
323.9182,0.943169,0.04997,1.1e-05,14980.629,3.297717,0.612436,2.21904,-293.802,0
324.77277,0.064943,0.052491,4e-06,15736.406,1.19917,0.625469,2.266261,425.3,0
323.64758,0.55524,0.049191,5e-06,14747.091,1.498962,0.639462,2.316964,-516.008,0
323.64032,0.536255,0.049257,2e-06,14766.877,0.599585,0.643729,2.332421,-497.182,0
323.61414,0.37449,0.049124,5e-06,14727.005,1.498962,0.667763,2.419505,-535.12,0
324.85007,0.059474,0.051645,1.6e-05,15482.781,4.796679,0.691303,2.504798,183.983,0
