Field,n_objects
STRIPE82-0042,58
STRIPE82-0044,228
STRIPE82-0045,341
STRIPE82-0046,259
STRIPE82-0047,203
STRIPE82-0050,173
STRIPE82-0051,206
STRIPE82-0052,156
STRIPE82-0053,295
STRIPE82-0057,246
STRIPE82-0058,269
STRIPE82-0059,354
STRIPE82-0060,264
STRIPE82-0062,233
STRIPE82-0063,270
STRIPE82-0066,322
STRIPE82-0068,275
STRIPE82_0041,29
STRIPE82_0043,306
STRIPE82_0048,288
STRIPE82_0049,146
STRIPE82_0054,206
STRIPE82_0055,285
STRIPE82_0056,297
STRIPE82_0061,381
STRIPE82_0064,253
STRIPE82_0065,269
STRIPE82_0067,205
