Field,n_objects
STRIPE82-0039,131
STRIPE82-0040,101
STRIPE82-0042,304
STRIPE82-0044,197
STRIPE82-0045,318
STRIPE82-0046,225
STRIPE82-0047,177
STRIPE82-0050,150
STRIPE82-0051,174
STRIPE82-0052,126
STRIPE82-0053,264
STRIPE82-0057,229
STRIPE82-0058,238
STRIPE82-0059,322
STRIPE82-0060,234
STRIPE82-0062,196
STRIPE82-0063,243
STRIPE82-0066,285
STRIPE82-0068,73
STRIPE82_0041,268
STRIPE82_0043,276
STRIPE82_0048,247
STRIPE82_0049,128
STRIPE82_0054,189
STRIPE82_0055,269
STRIPE82_0056,271
STRIPE82_0061,356
STRIPE82_0064,229
STRIPE82_0065,241
STRIPE82_0067,60
