ra,dec,z
19.504525,-0.096632,0.047918
19.355461,-0.34035,0.053281
19.456444,-0.377633,0.047408
17.552798,0.037038,0.045403
17.390347,0.342215,0.044962
18.40795,-0.91676,0.037471
18.057781,1.903195,0.049428
18.835312,2.148103,0.043914
19.463216,2.024563,0.035571
16.967917,0.768556,0.054
20.575618,1.007471,0.055462
16.807229,0.377766,0.044064
19.809167,-1.175667,0.048
19.203515,2.345168,0.032719
18.436958,2.466694,0.046015
20.437083,-0.759917,0.054
17.0395,1.731056,0.045511
20.76039,-0.324055,0.043335
20.8875,-0.357222,0.027799
20.855842,-0.489045,0.028552
20.692988,1.730599,0.032663
17.721917,2.618722,0.045168
21.170778,0.081114,0.056088
21.125589,1.12961,0.030603
20.823585,1.826433,0.032046
16.100494,0.29492,0.0509
19.98125,2.785782,0.034764
17.838567,2.972989,0.03345
17.854834,2.982409,0.033903
15.755567,-0.652776,0.051789
18.053386,-2.805965,0.045188
15.041754,-1.253004,0.051536
17.129984,-3.375019,0.054578
20.24,4.327222,0.033516
21.018139,-3.259963,0.053941
21.052542,-3.270194,0.053604
20.443083,-3.662444,0.054394
