NAME,RA_CLUSTER,DEC_CLUSTER,RADEC_ERR,RA_OPTICAL,DEC_OPTICAL,RA_BCG,DEC_BCG,REFMAG_BCG,BEST_Z,BEST_Z_ERR,BEST_Z_TYPE,Z_LAMBDA,LIT_Z,LIT_Z_ERR,LIT_Z_SRC,SPEC_Z_BOOT,SPEC_Z_BOOT_ERR,N_MEMBERS,BCG_SPEC_Z,VDISP_BOOT,VDISP_BOOT_ERR,VDISP_BOOT_FLAG,VDISP_TYPE,LAMBDA_NORM,LAMBDA_NORM_ERR,LAMBDA_OPT_NORM,LAMBDA_OPT_NORM_ERR,SCALEVAL,MASKFRAC,RUN,LMAX,NHI,EXT_LIKE,SHARED_MEMBERS,IN_FOOTPRINT,LIMMAG_G,IN_ZVLIM,ZVLIM_02,ZVLIM_04,GAIA_10MAG_30_ARCSEC,NGC_30_ARCSEC,HECATE_30_ARCSEC,RA_XFIT,DEC_XFIT,PCONT,EXP,CR500,CTS500,F500,F500_L,F500_H,L500,L500_L,L500_H,CR500_0520,CTS500_0520,F500_0520,F500_L_0520,F500_H_0520,L500_0520,L500_L_0520,L500_H_0520,Lbol500,Lbol500_L,Lbol500_H,KT,KT_L,KT_H,MGAS500,MGAS500_L,MGAS500_H,M500,M500_L,M500_H,FGAS500,FGAS500_L,FGAS500_H,R500,R500_L,R500_H,MATCH_NAME
1eRASS J000104.0-464435,0.267,-46.74311,49.15,0.284,-46.73466,0.284,-46.73466,15.766,0.17199,0.0042,photo_z,0.17199,,,none,,,0,,,,,nan,38.31,2.76,37.93,2.67,1.05454,0.054,legacy_dr10_grz_z_v0.9,80.5055,0.01342,30.1431,false,true,24.34,true,0.889,1.14,false,false,false,0.2768,-46.7381,5.0E-4,111.9,0.754,84.4,71.665,59.242,87.182,57.547,47.417,71.086,0.601,67.3,51.746,42.954,63.083,39.614,32.668,48.759,148.383,100.945,251.634,-1.0,2.31,-1.0,148.84,108.83,178.57,23.84,20.8,28.13,0.06,0.043,0.078,891.0,851.0,942.0,
1eRASS J000130.9-455732,0.3789,-45.95907,26.64,0.3755,-45.95685,0.3015,-45.9878,15.559,0.18463,0.0046,photo_z,0.18463,,,none,,,0,,,,,nan,20.0,1.62,20.11,1.6,1.03712,0.033,legacy_dr10_grz_z_v0.9,46.0583,0.01322,6.65464,false,true,24.4,true,0.824,1.079,false,false,false,0.3835,-45.9575,0.0867,104.4,0.176,18.3,16.576,10.979,23.645,15.501,10.35,22.341,0.14,14.7,12.05,8.003,17.213,10.718,7.189,15.519,38.868,21.882,67.862,-1.0,1.7,-1.0,31.46,10.6,57.06,7.76,5.37,10.95,0.041,0.017,0.082,610.0,540.0,684.0,
1eRASS J000203.6-481447,0.5152,-48.24645,12.12,0.5036,-48.25112,0.5036,-48.25112,14.858,0.16354,0.00442,photo_z,0.16354,,,none,,,0,,,,,nan,20.35,1.99,20.31,1.92,1.05088,0.05,legacy_dr10_grz_z_v0.9,36.8907,0.01274,4.41147,false,true,23.84,true,0.707,0.954,false,false,false,0.5141,-48.2486,0.0116,119.4,0.329,39.2,30.741,20.729,41.437,23.242,15.361,31.373,0.263,31.4,22.29,15.012,29.735,15.988,10.733,21.534,48.137,31.444,79.505,-1.0,1.2,-1.0,79.72,57.9,94.18,11.14,8.03,15.31,0.069,0.047,0.103,694.0,622.0,771.0,
1eRASS J000223.3-820818,0.5975,-82.13836,10.19,0.5978,-82.13892,0.5978,-82.13892,14.536,0.15572,4.0E-4,cg_spec_z,0.15893,,,none,,,0,0.15572,,,,nan,23.51,2.37,23.57,2.37,1.0583,0.055,legacy_dr10_grz_z_v0.9,36.535,0.07445,10.07947,false,true,23.24,true,0.604,0.803,false,false,false,0.5957,-82.1385,0.0215,183.5,0.227,41.7,21.278,16.846,26.939,17.64,13.878,22.166,0.195,35.9,16.962,13.433,21.392,12.197,9.541,15.243,44.049,29.439,76.038,-1.0,1.81,-1.0,47.57,28.59,65.32,9.94,8.3,11.76,0.047,0.027,0.066,670.0,630.0,708.0,
1eRASS J000236.8-471113,0.6537,-47.18706,37.87,0.6484,-47.1536,0.6484,-47.1536,15.799,0.17007,0.0044,photo_z,0.17007,,,none,,,0,,,,,nan,18.71,1.43,19.81,1.5,1.01862,0.016,legacy_dr10_grz_z_v0.9,41.2014,0.01378,17.77909,false,true,24.29,true,0.874,1.129,false,false,false,0.6583,-47.1873,0.0639,113.5,0.203,23.1,19.126,14.046,24.852,15.206,11.143,20.064,0.163,18.5,13.826,10.127,17.971,10.525,7.688,13.76,32.995,22.636,56.331,-1.0,1.41,-1.0,38.3,21.85,54.07,8.41,6.57,10.33,0.045,0.024,0.068,630.0,580.0,675.0,
1eRASS J000240.5-344030,0.669,-34.67522,10.35,0.6783,-34.65906,0.6701,-34.55708,15.206,0.11338,7.0E-4,spec_z_boot,0.11603,0.114,,XCLASS,0.11338,7.0E-4,19,0.113,626.59,432.13,0.06,biweight,29.8,2.79,32.12,2.82,1.07125,0.067,legacy_dr10_grz_z_v0.9,52.115,0.01234,4.51471,false,true,24.9,true,0.798,1.054,false,false,false,0.6695,-34.6814,0.0027,87.4,0.69,60.3,61.233,47.349,77.494,21.653,16.6,27.291,0.56,49.0,45.642,35.31,57.357,15.395,11.939,19.335,35.078,26.488,48.338,1.24,0.86,2.33,78.29,57.57,97.77,13.46,11.04,16.37,0.057,0.041,0.076,751.0,703.0,802.0,"MARDY3_MARDJ000237.2-344222,XCLASS_3274"
1eRASS J000313.1-355607,0.8047,-35.93531,5.84,0.9129,-35.91378,0.8041,-35.93708,12.196,0.04999,3.6E-4,spec_z_boot,0.05658,0.049,,XCLASS,0.04999,3.6E-4,23,0.04976,378.47,57.11,0.0,biweight,29.95,3.21,25.28,3.13,1.10372,0.092,legacy_dr10_grz_z_v0.9,40.443,0.01106,71.01689,false,true,23.93,true,0.68,0.916,false,false,false,0.8072,-35.9349,0.0,92.1,6.714,618.5,617.795,583.4,654.107,39.103,36.944,41.378,5.34,492.0,448.134,423.695,474.061,26.71,25.303,28.298,62.355,58.38,67.151,1.94,1.55,2.05,135.18,127.18,142.65,22.77,21.19,24.88,0.059,0.053,0.065,914.0,892.0,941.0,"ABELL_A2717,MARDY3_MARDJ000311.2-355608,MCXC_J0003.2-3555,RXGCC_3,XCLASS_23172"
1eRASS J000350.1-695852,0.9588,-69.98114,33.32,0.9555,-69.9835,0.9555,-69.9835,13.741,0.08536,1.5E-4,cg_spec_z,0.08691,,,none,,,0,0.08536,,,,nan,15.17,1.91,15.24,1.91,1.08339,0.076,legacy_dr10_grz_z_v0.9,30.8075,0.0296,5.50419,false,true,23.91,true,0.839,1.093,false,false,false,0.9694,-69.9789,0.0447,155.2,0.234,36.3,19.921,13.842,26.131,4.373,3.013,5.707,0.198,30.8,15.755,10.961,20.714,3.068,2.135,4.075,6.921,4.77,9.787,-1.0,0.35,-1.0,21.4,15.46,26.66,4.19,3.02,5.39,0.05,0.033,0.074,514.0,461.0,559.0,
1eRASS J000508.7-614657,1.2866,-61.78254,22.17,1.3273,-61.77185,1.3273,-61.77185,14.173,0.09513,4.0E-4,cg_spec_z,0.09663,,,none,,,0,0.09513,,,,nan,20.45,1.97,20.43,1.98,1.04591,0.043,legacy_dr10_grz_z_v0.9,35.4303,0.01951,14.00934,false,true,24.01,true,0.842,1.095,false,false,false,1.3084,-61.773,2.0E-4,147.3,0.928,136.7,81.44,65.834,96.455,20.773,16.87,24.782,0.77,113.5,62.27,50.815,74.662,14.8,11.999,17.796,31.904,25.732,38.126,1.18,1.06,1.44,89.43,77.38,100.31,14.91,12.94,17.19,0.06,0.05,0.072,782.0,746.0,820.0,
1eRASS J000559.2-344311,1.4969,-34.71976,15.06,1.4989,-34.72149,1.4989,-34.72149,13.939,0.11378,6.3E-4,spec_z_boot,0.12344,0.11441,0.0,ACTDR5,0.11378,6.3E-4,18,0.11404,729.19,286.3,0.0,biweight,92.65,4.73,92.17,4.71,1.08082,0.075,legacy_dr10_grz_z_v0.9,128.9486,0.01547,44.91764,false,true,24.88,true,0.722,0.972,false,false,false,1.5023,-34.7203,0.0,78.5,5.452,428.1,519.745,482.132,558.897,179.582,165.386,193.629,4.375,343.6,379.024,351.248,407.289,123.663,114.215,133.047,456.485,353.398,751.523,-1.0,2.63,-1.0,580.65,548.65,618.14,56.6,51.05,61.36,0.104,0.093,0.116,1213.0,1172.0,1246.0,"ABELL_A2721,ACTDR5_ACT-CL J0005.9-3443,MARDY3_MARDJ000552.8-344315,MCXC_J0006.0-3443,PSZ2_PSZ2 G352.28-77.66,RXGCC_5,SPTECS_J0005-3443,XCLASS_2350"
1eRASS J000756.3-770836,1.9849,-77.14347,8.19,1.9728,-77.14114,2.4282,-77.16108,16.448,0.1968,0.00478,photo_z,0.1968,,,none,,,0,,,,,nan,24.6,2.36,24.82,2.36,1.03834,0.037,legacy_dr10_grz_z_v0.9,41.8042,0.04179,11.41513,false,true,24.23,true,0.874,1.128,false,false,false,1.9845,-77.1435,0.0131,170.8,0.257,43.9,23.515,17.979,30.931,29.915,22.494,40.494,0.216,36.9,18.308,13.993,24.262,20.792,15.587,28.049,59.917,41.871,95.738,1.22,0.99,11.8,70.04,37.66,103.51,14.53,11.02,18.44,0.047,0.025,0.08,749.0,683.0,811.0,
1eRASS J000956.9-353948,2.4873,-35.66355,16.79,2.4851,-35.68365,2.4851,-35.68365,13.994,0.1214,0.00108,spec_z_boot,0.12398,0.12008,,PSZ2,0.1214,0.00108,8,0.12221,536.06,175.12,0.0,gapper,47.19,2.66,47.77,2.62,1.03368,0.033,legacy_dr10_grz_z_v0.9,95.4003,0.00952,13.19501,false,true,24.8,true,0.712,0.96,false,false,false,2.4847,-35.6634,0.0,79.8,1.339,106.8,127.173,106.508,148.168,49.251,41.18,57.647,1.061,84.6,90.899,76.46,105.92,33.943,28.345,39.738,110.48,81.572,193.516,-1.0,1.45,-1.0,188.54,169.38,208.61,23.43,20.55,28.08,0.08,0.066,0.095,901.0,863.0,957.0,"ABELL_A2730,MARDY3_MARDJ000959.6-354044,PSZ2_PSZ2 G346.36-77.71"
1eRASS J000958.1-642738,2.4922,-64.46074,15.67,2.4775,-64.40526,2.598,-64.50188,14.948,0.11979,0.00538,photo_z,0.11979,,,none,,,0,,,,,nan,30.61,2.47,20.28,2.01,1.04394,0.045,legacy_dr10_grz_z_v0.9,46.7944,0.01651,4.63558,false,true,24.31,true,0.806,1.061,false,false,false,2.4902,-64.4639,2.0E-4,145.2,0.8,116.3,76.355,46.86,95.059,29.463,17.817,36.552,0.645,93.8,55.867,34.427,69.669,20.328,12.366,25.136,84.839,48.558,149.82,-1.0,4.54,-1.0,98.54,84.1,114.88,16.79,13.2,21.63,0.058,0.044,0.078,807.0,745.0,878.0,
1eRASS J001053.4-341319,2.7228,-34.22221,9.95,2.719,-34.2203,2.719,-34.2203,15.185,0.09859,3.5E-4,spec_z_boot,0.10464,,,none,0.09859,3.5E-4,10,,789.76,602.14,0.12,gapper,13.7,1.36,13.73,1.37,1.04615,0.046,legacy_dr10_grz_z_v0.9,24.6111,0.01063,12.09004,false,true,24.03,true,0.727,0.978,false,false,false,2.7231,-34.2202,0.0158,91.2,0.752,68.6,68.21,56.922,81.348,17.685,14.716,21.022,0.602,54.9,49.755,41.464,59.115,12.331,10.209,14.705,29.01,23.482,36.231,1.35,1.07,2.57,51.2,36.65,65.79,11.75,10.23,13.85,0.043,0.03,0.058,722.0,689.0,762.0,
1eRASS J001137.9-662748,2.9081,-66.46347,13.53,2.8924,-66.48812,3.1095,-66.42204,15.546,0.18676,0.00459,photo_z,0.18676,,,none,,,0,,,,,nan,47.54,3.19,42.61,2.76,1.02989,0.031,legacy_dr10_grz_z_v0.9,68.9951,0.01612,9.81124,false,true,24.12,true,0.575,0.763,false,false,false,2.9188,-66.4637,0.0034,148.0,0.37,54.8,35.498,27.062,44.487,33.192,25.387,41.69,0.298,44.1,25.948,19.769,32.509,23.0,17.534,28.86,112.367,67.893,173.814,-1.0,5.23,-1.0,119.66,92.27,139.86,16.05,13.57,19.89,0.071,0.051,0.093,777.0,735.0,835.0,
1eRASS J001153.0-810910,2.9709,-81.15288,7.7,2.8935,-81.17807,2.8935,-81.17807,14.059,0.12326,0.00511,photo_z,0.12326,,,none,,,0,,,,,nan,39.64,2.71,41.56,2.84,1.04383,0.043,legacy_dr10_grz_z_v0.9,60.6096,0.05745,14.52346,false,true,23.62,true,0.644,0.862,false,false,false,2.9786,-81.1526,0.0,182.4,0.827,150.8,79.266,69.072,90.69,36.289,31.583,41.371,0.702,128.0,61.866,53.819,70.646,25.14,21.933,28.648,140.653,96.118,197.322,-1.0,8.36,-1.0,151.8,136.17,167.54,20.61,18.74,23.2,0.073,0.064,0.085,863.0,836.0,898.0,
1eRASS J001238.3-501730,3.1597,-50.29184,13.45,3.1457,-50.2944,3.1702,-50.27854,15.254,0.14419,0.00445,photo_z,0.14419,,,none,,,0,,,,,nan,52.02,2.34,51.28,2.25,1.01138,0.008,legacy_dr10_grz_z_v0.9,87.4663,0.01388,5.51272,false,true,24.37,true,1.15,1.403,false,false,false,3.1642,-50.2926,0.0029,125.0,0.424,53.0,37.352,27.128,48.197,22.56,16.329,28.709,0.342,42.7,28.067,20.4,35.402,15.864,11.593,20.037,38.021,26.99,55.285,-1.0,0.75,-1.0,90.64,71.1,107.69,12.55,9.86,17.2,0.071,0.05,0.096,727.0,670.0,807.0,
1eRASS J001335.3-344310,3.3973,-34.71958,6.68,3.396,-34.71905,3.396,-34.71905,14.29,0.11107,0.00116,spec_z_boot,0.11469,0.10492,,MARDY3,0.11107,0.00116,12,0.11051,840.79,270.34,0.0,gapper,21.22,2.2,21.12,2.2,1.03847,0.041,legacy_dr10_grz_z_v0.9,25.048,0.01066,9.64043,false,true,24.35,true,0.904,1.152,false,false,false,3.3939,-34.7191,0.0053,91.5,0.795,72.7,75.464,58.682,93.776,24.338,18.703,30.261,0.632,57.8,54.126,42.248,67.417,16.785,12.976,20.868,59.227,40.682,96.251,-1.0,1.82,-1.0,84.53,55.15,101.53,14.74,11.89,18.68,0.054,0.035,0.074,775.0,722.0,839.0,MARDY3_MARDJ001336.4-344302
1eRASS J001416.4-660420,3.5683,-66.07242,2.77,3.5676,-66.07262,3.5676,-66.07262,14.933,0.15998,0.00404,photo_z,0.15998,0.1599,,MCXC,,,0,,,,,nan,51.11,3.31,51.17,3.31,1.06131,0.058,legacy_dr10_grz_z_v0.9,81.7096,0.01961,115.7894,false,true,24.17,true,0.658,0.884,false,false,false,3.5692,-66.0724,0.0,140.2,2.9,406.7,266.572,246.092,288.334,203.647,187.476,220.636,2.325,326.1,195.399,180.639,211.602,138.906,127.819,150.63,343.185,312.947,377.891,2.35,1.76,2.63,371.5,316.62,411.74,58.03,54.15,61.76,0.064,0.054,0.073,1204.0,1176.0,1229.0,"MCXC_J0014.3-6604,PSZ2_PSZ2 G308.85-50.61"
