ra,dec,z
180.972,1.87,0.019304
181.129167,2.043611,0.019964
180.977644,2.181063,0.020231
180.99828,1.410898,0.022358
180.91721,2.641184,0.004098
182.0,2.825,0.00441
182.389822,2.289848,0.004246
182.00125,0.468556,0.035
182.916667,2.925,0.00432
178.770255,1.719627,0.004336
178.735611,0.18516,0.003746
183.993833,2.039472,0.021381
180.109568,-1.101926,0.005064
180.083947,-1.106447,0.004475
180.59174,-1.453292,0.020501
177.605,2.368917,0.029
179.150405,-1.269035,0.019
179.815833,-1.589444,0.020321
180.709583,-1.784889,0.02
179.79839,-1.70706,0.020342
178.547412,-1.131093,0.011038
184.83875,0.750194,0.034
179.6525,-2.046944,0.02004
182.60178,-2.042671,0.03446
183.958682,-1.238084,0.020735
184.57467,4.402166,0.006663
184.461667,-0.901972,0.021
184.54625,4.636944,0.006915
185.22744,3.402719,0.007312
184.161047,-1.452018,0.003059
179.792833,-2.590889,0.00515
184.771333,4.661778,0.007829
185.072952,4.202956,0.005764
184.790392,-1.214708,0.030016
186.018333,1.191944,0.02386
186.06613,2.314432,0.026281
185.97596,3.084847,0.006241
185.478732,4.473646,0.005224
185.6075,4.568,0.004276
186.166542,3.303167,0.0031
186.574006,1.741757,0.008196
175.756532,3.975121,0.008456
186.580375,1.019611,0.00516
186.729167,1.409722,0.004089
176.286,-1.721,0.027606
178.308639,-3.409079,0.004143
175.311463,0.142673,0.028335
179.159458,-3.953806,0.031388
181.596375,-4.395417,0.019015
186.54928,-1.30468,0.00675
178.130292,-3.87225,0.00526
175.2139,4.809799,0.020243
186.585417,-1.421944,0.007275
174.572266,0.613381,0.003159
183.993542,-3.943306,0.018857
174.663833,3.791417,0.030027
187.557307,2.624708,0.005451
186.751333,-1.355167,0.029436
178.258375,-4.427833,0.0052
174.153333,0.816111,0.003686
181.028875,-5.085444,0.026702
186.438792,-2.522667,0.029926
187.442781,-1.294989,0.00754
188.194167,1.568944,0.005088
185.79762,-3.491122,0.01126
187.91349,3.939477,0.005858
187.916667,3.932778,0.005774
173.77084,2.55115,0.017414
188.33652,1.521705,0.005557
188.339583,1.540472,0.005
188.189958,0.115028,0.003756
173.275941,1.489271,0.014156
188.77875,2.514167,0.005644
173.22254,0.567986,0.019511
185.997042,-4.464722,0.029849
188.917917,-0.210861,0.023
182.1225,-6.297917,0.018425
189.175333,3.108389,0.004861
172.778188,3.1322,0.0283
185.796352,-5.05471,0.029037
177.805667,-6.006722,0.016715
189.214,-0.585733,0.0088
172.809167,4.645833,0.033083
172.36925,0.112778,0.015634
187.85301,-3.668822,0.024287
189.371252,4.751416,0.005464
187.2675,-4.484833,0.024838
185.458958,-6.02125,0.033113
184.146208,-6.719361,0.030418
173.794958,-3.951028,0.030304
175.606083,-5.717194,0.0192
189.841375,4.936667,0.005404
171.53967,1.89602,0.023168
189.51353,-2.264285,0.008643
190.011542,-1.05,0.005263
171.53465,2.833383,0.020162
174.002167,-4.613778,0.019677
184.272917,-7.109444,0.030775
190.605,1.397417,0.033
172.905958,-3.342722,0.019767
171.80101,-0.99468,0.003223
179.592665,-7.654506,0.02399
188.346958,-4.413111,0.017529
