name ra dec z
RXCJ0000.1+0816 0.02958 8.27444 0.0396
A2690 0.09120 -25.13822 0.0840
SPTCLJ0000-5748 0.25000 -57.80695 0.7020
SPTCLJ0001-5440 0.40583 -54.66972 0.7300
XMMXCSJ0002-3556 0.56708 -35.94272 0.7704
A2715 0.68944 -34.67154 0.1160
A2697 0.79826 -6.09169 0.2484
A2717 0.80042 -35.92722 0.0490
A2700 0.96083 2.06333 0.0924
ZGXJ000402-355635 1.00742 -35.94317 0.4974
WHLJ000524+161309 1.35000 16.21917 0.1160
Z15 1.58453 10.86429 0.1663
ACTCLJ0008.1+0201 2.04333 2.02000 0.3651
WHLJ001037.1+112957 2.65464 11.49916 0.1042
A2734 2.83625 -28.85500 0.0625
ZwCl0008.8+5215 2.85667 52.52806 0.1040
MACS0011.7-1523 2.92875 -15.38944 0.3780
A7 2.93500 32.41694 0.1062
SPTCLJ0013-4906 3.33083 -49.11611 0.4075
A13 3.40958 -19.50222 0.0943
A2744 3.57875 -30.38944 0.3080
SPTCLJ0014-4952 3.70125 -49.87861 0.7485
ACTLJ0014-0056 3.72542 -0.95222 0.5330
WHLJ001817+161740 4.57208 16.29447 0.5477
CL0016+1626 4.64083 16.43806 0.5410
AS26S 4.70833 -20.57899 9.9999
RXCJ0018.9-4051 4.76000 -40.85972 0.4400
AS26 4.76625 -20.43806 0.5400
CL0019.6+0336 4.91107 3.59926 0.2685
PSZ2G113.91-37.01 4.91428 25.27983 0.1336
PSZ2G114.79-33.71 5.15480 28.65949 0.0979
A22 5.17833 -25.71028 0.1424
ZGXJ002138-083621 5.40668 -8.60576 0.4688
ACTCLJ0022-0036 5.55417 -0.60944 0.8050
MACSJ0024.5+3312 6.13667 33.20722 0.2250
MACSJ0025.4-1222 6.37250 -12.37694 0.5843
CL0024+1652 6.64875 17.16278 0.3900
RXJ0027.6+2616 6.95750 26.27389 0.3668
PSZ2G304.84-41.40 7.03400 -75.63500 0.4100
WHLJ002855.5+174412 7.23118 17.73678 0.1102
A2782 7.55181 -53.40652 0.0879
RXJ0030.5+2618 7.64180 26.30254 0.5160
WHLJ003058+262603 7.74194 26.43438 0.5581
SPTCLJ0033-6326 8.46875 -63.44389 0.5963
WHYJ003410-021039 8.54496 -2.17762 0.0580
ACTCLJ0034.4+0225 8.59840 2.42060 0.3503
WHYJ003441-015813 8.67136 -1.97053 0.3163
J003509-020814 8.77068 -2.13735 0.0666
MACSJ0035.4-2015 8.86083 -20.26278 0.3640
WHYJ003555-444637 8.97756 -44.77688 0.2301
MCXCJ0035.9+8513 8.99332 85.22332 0.8100
WHYJ003613-443358 9.05325 -44.56619 0.1374
A68 9.27208 9.15306 0.2550
SPTCLJ0037-5047 9.44333 -50.79750 1.0181
WHLJ003839+004345 9.66339 0.72909 0.6955
WHLJ003922+004820 9.84173 0.80542 0.4148
WHLJ003942+004541 9.92708 0.76139 0.4019
A76 10.00208 6.81806 0.0405
A77 10.14238 29.52429 0.0708
SPTCLJ0040-4407 10.20802 -44.13072 0.3092
WHYJ004052+415134 10.21949 41.85945 0.3513
WHLJ004055.0+331007 10.22936 33.16867 0.4832
AS67 10.24320 -44.49237 0.3237
WHYJ004100-444529 10.24901 -44.75818 0.2166
WHLJ004118+252609 10.32710 25.43585 0.1454
A85 10.45875 -9.30194 0.0551
A2811 10.53625 -28.53583 0.1079
CODEX-64232 10.63375 -11.06861 0.5467
WHLJ004252+004306 10.71958 0.71833 0.2697
A2813 10.85167 -20.62139 0.2924
WHLJ004335+010111 10.89609 1.01971 0.1952
WHLJ004350+004718 10.95833 0.78836 0.4758
Z235 10.96739 24.40594 0.0837
XMMUJ0044.0-2033 11.02167 -20.56611 1.5790
ACTCLJ0044.4+0113 11.10667 1.21353 1.1100
ACTCLJ0045.2-0153 11.30208 -1.87544 0.5450
MCXCJ0046.3+8530 11.55563 85.51914 0.6150
A98N 11.60190 20.62134 0.1043
RXJ0046.4+4204 11.60458 42.07583 0.3000
A98S 11.62738 20.46245 0.1063
NSCJ0046+2015 11.64863 20.25745 0.1288
MACSJ0047.3-0810 11.84083 -8.15694 0.3170
PLCKG111.1-87.5 12.29625 -24.68194 0.5200
AS84 12.35000 -29.52444 0.1080
A2837 13.18708 -80.26639 0.1142
WHLJ005300-083937 13.24848 -8.66013 0.3155
WHYJ005305-704737 13.27167 -70.79366 0.2645
ESO351-021 13.74892 -35.32170 0.0571
PSZ2G126.72-72.82 13.99792 -9.98794 0.0535
A115 13.99917 26.37806 0.1971
MCXCJ0056.0-3732 14.01458 -37.54528 0.1625
A119 14.07625 -1.21667 0.0442
WHYJ005627-665120 14.11318 -66.85569 0.2641
MCXCJ0056.9-2740 14.23695 -27.67502 0.5600
A122 14.35292 -26.28056 0.1135
WHYJ005743-670136 14.43155 -67.02677 0.2388
AS112 14.45042 -66.81222 0.0665
