name,ra,dec,field,z
"A2744",3.5788227180527343,-30.397060034874357,"SPLUS-s24s03",0.308
"A2744",3.5783720490730677,-30.381261655486913,"SPLUS-s24s03",0.308
"A2744",3.584847448504254,-30.383617701837686,"SPLUS-s24s03",0.308
"A2744",3.5743339377994277,-30.383574865479012,"SPLUS-s24s03",0.308
"A2744",3.583694702471386,-30.384602887089112,"SPLUS-s24s03",0.308
"A2744",3.5730270474731762,-30.385327345583235,"SPLUS-s24s03",0.308
"A2744",3.573497414936266,-30.386016981268277,"SPLUS-s24s03",0.308
"A2744",3.5805907373680026,-30.38569342981363,"SPLUS-s24s03",0.308
"A2744",3.5701611585709196,-30.386388944878306,"SPLUS-s24s03",0.308
"A2744",3.578335482463206,-30.387036134352293,"SPLUS-s24s03",0.308
"A2744",3.585229730276832,-30.38749207923534,"SPLUS-s24s03",0.308
"A2744",3.571053726860324,-30.387983343601682,"SPLUS-s24s03",0.308
"A2744",3.584168547562092,-30.388808164243773,"SPLUS-s24s03",0.308
"A2744",3.571451702499199,-30.390374069135063,"SPLUS-s24s03",0.308
"A2744",3.584896720938102,-30.392838755101764,"SPLUS-s24s03",0.308
"A2744",3.5853330436707203,-30.39430595382974,"SPLUS-s24s03",0.308
"A2744",3.587316249930442,-30.393253259369164,"SPLUS-s24s03",0.308
"A2744",3.578885031025785,-30.394012389307555,"SPLUS-s24s03",0.308
"A2744",3.5812879658815304,-30.393867038994976,"SPLUS-s24s03",0.308
"A2744",3.5802976301658758,-30.39213415835883,"SPLUS-s24s03",0.308
"A2744",3.5808977003478866,-30.39076407317731,"SPLUS-s24s03",0.308
"ACTLJ0014-0056",3.732320079148077,-0.9555526540594351,"STRIPE82-0007",0.533
"ACTLJ0014-0056",3.7256156284377444,-0.955267931539751,"STRIPE82-0007",0.533
"ACTLJ0014-0056",3.7280106678341403,-0.954299938794901,"STRIPE82-0007",0.533
"ACTLJ0014-0056",3.727515632446983,-0.9534497650570787,"STRIPE82-0007",0.533
"ACTLJ0014-0056",3.718163046196098,-0.9555049802380561,"STRIPE82-0007",0.533
"ACTLJ0014-0056",3.730792272329541,-0.9530392225751468,"STRIPE82-0007",0.533
"ACTLJ0014-0056",3.7183834207508406,-0.9527222976693268,"STRIPE82-0007",0.533
"ACTLJ0014-0056",3.7176532590549725,-0.9527442784054725,"STRIPE82-0007",0.533
"ACTLJ0014-0056",3.7223551742895444,-0.9530663032056204,"STRIPE82-0007",0.533
"ACTLJ0014-0056",3.72731853474329,-0.9517245520097134,"STRIPE82-0007",0.533
"ACTLJ0014-0056",3.733123997267118,-0.9512704126498879,"STRIPE82-0007",0.533
"ACTLJ0014-0056",3.7306816044017816,-0.9505101150330999,"STRIPE82-0007",0.533
"ACTLJ0014-0056",3.728226584106861,-0.9489369113069765,"STRIPE82-0007",0.533
"ACTLJ0014-0056",3.7255974084973746,-0.952298870344607,"STRIPE82-0007",0.533
"ACTLJ0014-0056",3.7248181254742034,-0.9472766019735684,"STRIPE82-0007",0.533
"ACTLJ0014-0056",3.7209213499536453,-0.9456079849976277,"STRIPE82-0007",0.533
