name,ra,dec,field,z
ESO351-021,13.74958505989797,-35.32152565268122,SPLUS-s27s09,0.0571
A0119,14.075486008623406,-1.2224055687607738,STRIPE82-0021,0.0442
A0168,18.74048692881285,0.4375640471878422,STRIPE82-0028,0.045
MS0116.3-0115,19.72334228034064,-1.0019785128272227,STRIPE82-0029,0.0452
WHLJ012023-000444,20.096871146575225,-0.0847076723902566,STRIPE82-0029,0.078
RXCJ0229.3-3332,37.3382343934264,-33.53990326655509,SPLUS-s26s24,0.0792
NGC1132,43.2132268903597,-1.271903164156108,STRIPE82-0061,0.0231
A3084,46.02761397895554,-36.94173913052942,SPLUS-s29s28,0.0977
A3112,49.49149527444406,-44.246826347018064,SPLUS-s34s28,0.0753
A3122,50.56803296219322,-41.33773682585449,SPLUS-s32s29,0.0643
A3135,53.50551410702306,-39.00798247687008,SPLUS-s30s32,0.0642
A3140,54.0794843880869,-40.62887881153083,SPLUS-s31s32,0.062
Fornax,54.61904974699117,-35.451126473781095,SPLUS-s27s34,0.0046
RXCJ0340-4542,55.2022829640829,-45.68391077781654,SPLUS-s35s30,0.0698
WHYJ034138-531028,55.41230829146433,-53.18094992875814,SPLUS-s41s26,0.0852
A3158,55.727287504913605,-53.64060882589355,SPLUS-s41s26,0.0597
AS384,56.44307883328256,-41.20425351848544,SPLUS-s32s33,0.05
RBS485,58.086778453455416,-54.89300134687275,SPLUS-s42s26,0.0444
WHYJ040527-371715,61.2831747956063,-37.29071177899667,SPLUS-s29s37,0.096
A3223,62.05924642639553,-30.89879811401812,SPLUS-s24s41,0.0601
RXCJ0413.9-3805,63.4968981102171,-38.09813867212916,SPLUS-s29s38,0.0501
RXCJ0422.8-5130,65.68099329032525,-51.48048351966525,SPLUS-s40s31,0.0428
AS463,67.28126223755511,-53.84043966990826,SPLUS-s42s30,0.0394
A0970,154.3408962747333,-10.678698958905814,SPLUS-n09s04,0.0587
PSZ2G272.88+19.14,157.42969987278246,-35.330423929436385,HYDRA-D-0003,0.0111
NGC3411,162.60870275420717,-12.845044107857232,SPLUS-n11s10,0.0153
MKW4,180.98840626585616,1.8882778057645984,SPLUS-n02n23,0.02
A1644,194.28518502734215,-17.399155010706817,SPLUS-n14s32,0.0473
NGC5004,198.8498879547806,-16.385411915303113,SPLUS-n13s35,0.0093
WHLJ131916-005499,199.8187072073592,-1.000994783144532,SPLUS-n02s37,0.0824
A3733,315.45489590393345,-28.04221869897569,SPLUS-s22s21,0.0382
A3744,316.8098188843714,-25.43913053468381,SPLUS-s20s23,0.0381
RXJ2137.1+0026,324.27709646001455,0.4456146946823932,STRIPE82-0122,0.051
A2440,335.9707524629287,-1.6412023195005754,SPLUS-s02s09,0.0906
A3880,336.9650547250976,-30.56280225455338,SPLUS-s24s62,0.0584
AS1136,354.0624196890092,-31.60762039794948,SPLUS-s24s73,0.0625
CODEX-59603,359.4328937964083,0.7975125277898953,STRIPE82-0002,0.0616
