# fonte: all_clusters+name.csv
cluster_name,ra,dec,z,clsid
ESO351-021,13.74958505989797,-35.32152565268122,0.0571,1
A0119,14.075486008623406,-1.2224055687607738,0.0442,2
A0168,18.74048692881285,0.4375640471878422,0.045,3
MS0116.3-0115,19.72334228034064,-1.0019785128272227,0.0452,4
WHLJ012023-000444,20.096871146575225,-0.0847076723902566,0.078,5
RXCJ0229.3-3332,37.3382343934264,-33.53990326655509,0.0792,6
NGC1132,43.2132268903597,-1.271903164156108,0.0231,7
A3084,46.02761397895554,-36.94173913052942,0.0977,8
A3112,49.49149527444406,-44.246826347018064,0.0753,9
A3122,50.56803296219322,-41.33773682585449,0.0643,10
A3135,53.50551410702306,-39.00798247687008,0.0642,11
A3140,54.0794843880869,-40.62887881153083,0.062,12
RXCJ0340-4542,55.2022829640829,-45.68391077781654,0.0698,13
WHYJ034138-531028,55.41230829146433,-53.18094992875814,0.0852,14
A3158,55.727287504913605,-53.64060882589355,0.0597,15
AS384,56.44307883328256,-41.20425351848544,0.05,16
RBS485,58.086778453455416,-54.89300134687275,0.0444,17
WHYJ040527-371715,61.2831747956063,-37.29071177899667,0.096,18
A3223,62.05924642639553,-30.89879811401812,0.0601,19
RXCJ0413.9-3805,63.4968981102171,-38.09813867212916,0.0501,20
RXCJ0422.8-5130,65.68099329032525,-51.48048351966525,0.0428,21
AS463,67.28126223755511,-53.84043966990826,0.0394,22
A0970,154.3408962747333,-10.678698958905814,0.0587,23
MKW4,180.98840626585616,1.8882778057645984,0.02,24
A1644,194.28518502734212,-17.399155010706817,0.0473,25
WHLJ131916-005499,199.8187072073592,-1.000994783144532,0.0824,26
A3733,315.45489590393345,-28.04221869897569,0.0382,27
A3744,316.8098188843714,-25.43913053468381,0.0381,28
RXJ2137.1+0026,324.27709646001455,0.4456146946823932,0.051,29
A2440,335.9707524629287,-1.6412023195005754,0.0906,30
A3880,336.9650547250976,-30.56280225455338,0.0584,31
AS1136,354.0624196890092,-31.60762039794948,0.0625,32
CODEX-59603,359.4328937964083,0.7975125277898953,0.0616,33
