# fonte: all.csv
cluster_name,ra,dec,z
A0194,21.4200,-1.4072,0.018
A2457,338.9200,1.4849,0.0578
A267,28.17485,1.00709,0.2327
MCXCJ0458.9-0029,74.72958,-0.48917,0.0150
RXCJ0920.0+0102,140.00208,1.04000,0.0175
HCG97,356.84558,-2.32599,0.0218 
XCLASS59,31.95700,2.15600,0.0228
RXCJ2315.7-0222,348.93832,-2.37694,0.0267
3C88,51.97708,2.56306,0.0302 
A189,21.35292,1.74111,0.0328 
RXCJ0340.6-0239,55.17417,-2.66583,0.0360 
CL1058+0137,164.54578,1.60458,0.0395
RXCJ1121.7+0249,170.42792,2.81833,0.0468 
IC1365,318.48291,2.56528,0.0493
ESO351-021,13.74958505989797,-35.32152565268122,0.0571
A0119,14.075486008623406,-1.2224055687607738,0.0442
A0168,18.74048692881285,0.4375640471878422,0.045
MS0116.3-0115,19.72334228034064,-1.0019785128272227,0.0452
WHLJ012023-000444,20.096871146575225,-0.0847076723902566,0.078
RXCJ0229.3-3332,37.3382343934264,-33.53990326655509,0.0792
NGC1132,43.2132268903597,-1.271903164156108,0.0231
A3084,46.02761397895554,-36.94173913052942,0.0977
A3112,49.49149527444406,-44.246826347018064,0.0753
A3122,50.56803296219322,-41.33773682585449,0.0643
A3135,53.50551410702306,-39.00798247687008,0.0642
A3140,54.0794843880869,-40.62887881153083,0.062
Fornax,54.61904974699117,-35.451126473781095,0.0046
RXCJ0340-4542,55.2022829640829,-45.68391077781654,0.0698
WHYJ034138-531028,55.41230829146433,-53.18094992875814,0.0852
A3158,55.727287504913605,-53.64060882589355,0.0597
AS384,56.44307883328256,-41.20425351848544,0.05
RBS485,58.086778453455416,-54.89300134687275,0.0444
WHYJ040527-371715,61.2831747956063,-37.29071177899667,0.096
A3223,62.05924642639553,-30.89879811401812,0.0601
RXCJ0413.9-3805,63.4968981102171,-38.09813867212916,0.0501
RXCJ0422.8-5130,65.68099329032525,-51.48048351966525,0.0428
AS463,67.28126223755511,-53.84043966990826,0.0394
A0970,154.3408962747333,-10.678698958905814,0.0587
PSZ2G272.88+19.14,157.42969987278246,-35.330423929436385,0.0111
NGC3411,162.60870275420717,-12.845044107857232,0.0153
MKW4,180.98840626585616,1.8882778057645984,0.02
A1644,194.28518502734215,-17.399155010706817,0.0473
NGC5004,198.8498879547806,-16.385411915303113,0.0093
WHLJ131916-005499,199.8187072073592,-1.000994783144532,0.0824
A3733,315.45489590393345,-28.04221869897569,0.0382
A3744,316.8098188843714,-25.43913053468381,0.0381
RXJ2137.1+0026,324.27709646001455,0.4456146946823932,0.051
A2440,335.9707524629287,-1.6412023195005754,0.0906
A3880,336.9650547250976,-30.56280225455338,0.0584
AS1136,354.0624196890092,-31.60762039794948,0.0625
CODEX-59603,359.4328937964083,0.7975125277898953,0.0616
Hydra,159.17416,-27.52444,0.0126
A3266,67.85042,-61.44389,0.0589
MKW8,220.15916,3.47639,0.0270
A4059,359.25958,-34.76056,0.0487
A0957,153.41792,-0.91444,0.0436
A2734,2.83625,-28.85500,0.0625
A4038,356.92999,-28.14139,0.0282
A3581,211.86708,-27.01528,0.0230
A3301,75.19375,-38.67806,0.0536
