# fonte: heasarc_subset+center.csv
# contem todos os clusters não filtrados
# esta tabela deve ser filtrada pela tabela catalog_v4_part3+allow.csv
clsid,ra,dec,cluster_name,z,z_count,z_count_15p,z_count_10p
90396,1.21555759,-1.55495055,WBL001,0.02394,4451,389,217
15698,21.3878,-1.5069,MCXCJ0125.6-0125,0.018,5207,328,197
20497,137.233,-9.618,A754,0.056,569,326,233
15351,159.4402,-27.0805,HCG048,0.009,670,300,253
9659,68.3947,-13.2473,PLCKESZG209.56-36.49,0.0326,805,270,216
30712,2.3072,-0.25118,[YMV2007]2937,0.0753783,4261,266,123
30097,2.28273,-0.60648,[YMV2007]1999,0.0739785,4472,264,116
10386,52.55,-52.55,A3128,0.0554,834,256,208
30742,16.06826,-0.22276,[YMV2007]841,0.0506851,5064,227,129
18775,193.31,-15.38,MCXCJ1253.2-1522,0.0462,899,224,178
9604,96.7612,-54.4445,PLCKESZG263.20-25.21,0.0506,469,224,172
15276,201.026,-31.6605,A3556,0.048,1291,220,161
20538,220.277,3.513,N56-395,0.027,1069,218,164
25587,10.47206,-10.83277,[YMV2007]8952,0.0528496,3049,214,171
15082,96.7,-54.5453,[TH2001]H,0.051,472,212,143
12620,193.201,-15.4332,A1631,0.0508,824,189,156
9674,194.6747,-1.7563,PLCKESZG306.68+61.06,0.0845,1724,189,127
23445,194.675174578335,-1.76537665250451,ACT-CLJ1258.7-0145,0.0845,1731,186,125
90433,37.86906369,1.27074125,WBL074,0.02251,1498,185,132
12621,17.2248,-15.4166,A151,0.0526,879,184,146
30011,23.72328,-0.66026,[YMV2007]650,0.0814866,2120,183,89
32079,1.02672,0.55099,[YMV2007]5621,0.08572,3323,180,106
30766,15.84568,-0.20691,[YMV2007]21794,0.0789628,4007,175,74
20452,356.995,-28.026,A4038,0.0263,515,171,118
17997,202.80114554,-1.72057952,A1750,0.086,1245,161,98
29885,23.8421,-0.73563,[YMV2007]3262,0.0811439,2027,154,80
30816,3.61002,-0.18167,[YMV2007]1199,0.0641002,3271,152,80
11822,357.898,-28.3666,A4049,0.0283,561,150,49
10732,17.45,-45.9002,A2877,0.0241,2542,149,101
90491,228.32441437,4.41376857,WBL554,0.03627,1085,149,118
26476,9.74765,-9.00261,[YMV2007]6409,0.0203801,7880,147,71
32288,4.19588,0.70429,[YMV2007]5622,0.0448435,4556,147,57
