# fonte: chinese_xmatch_idr5.csv
# esta tabela contem todos os clusters z<0.4 que estejam no idr5
# esta tabela deve ser filtrada pela catalog_v4_part4+deny.csv
cluster_name,ra,dec,z,zml,odds,field
A2715,0.68944,-34.67154,0.116,0.8265264,0.15025565,SPLUS-s27s01
A2717,0.80042,-35.92722,0.049,0.10895926,0.17991376,SPLUS-s28s02
A2734,2.83625,-28.855,0.0625,0.05145625,0.9673659,SPLUS-s22s03
A22,5.17833,-25.71028,0.1424,0.8499045,0.2055519,SPLUS-s21s04
A133,15.67542,-21.87361,0.0566,0.13915966,0.24239859,SPLUS-s17s12
A141,16.395,-24.65472,0.23,0.8112719,0.16324109,SPLUS-s19s12
A151,17.20875,-15.41,0.0533,-0.003,-99.0,SPLUS-s13s13
A2877,17.50167,-45.92278,0.0247,0.062369402,0.81265354,SPLUS-s35s10
AS296,41.71466,-42.37802,0.0696,0.33404073,0.10772047,SPLUS-s32s25
SPTCLJ0310-4646,47.63375,-46.785,0.2056,0.857169,0.25976503,SPLUS-s36s25
A3104,48.5825,-45.42417,0.073,0.008215769,0.84972525,SPLUS-s35s27
MCXCJ0320.3-4259,50.07542,-42.98694,0.158,0.16190314,0.23069327,SPLUS-s33s28
MCXCJ0320.6-4311,50.1575,-43.19778,0.149,0.49718502,0.0742226,SPLUS-s33s28
A3301,75.19375,-38.67806,0.0536,0.23174416,0.11071737,SPLUS-s30s44
A957,153.41792,-0.91444,0.0436,0.05239212,0.9785815,SPLUS-n02s03
A954,153.43668,-0.10861,0.0932,0.0860314,0.28785253,SPLUS-n01s03
RXJ1027.1-0318,156.78442,-3.32192,0.0381,0.2928243,0.1201726,SPLUS-n03s05
A1069,159.935,-8.68361,0.065,0.07401537,0.6790759,SPLUS-n07s08
A1084,161.1375,-7.07278,0.1323,0.7886079,0.13849388,SPLUS-n06s09
A1437,180.10583,3.33361,0.1345,0.12308884,0.5821695,SPLUS-n03n23
A1606,191.15833,-11.98528,0.095,0.76860654,0.07167128,SPLUS-n10s30
A1648,194.7075,-26.6675,0.076,0.19755979,0.11863128,SPLUS-n20s21
A1757,203.425,-23.28389,0.1259,0.20191117,0.22268622,SPLUS-n18s37
MACSJ1427.7-2521,216.91417,-25.35056,0.318,0.27044022,0.65864515,SPLUS-n20s36
A1942,219.59111,3.67035,0.23,0.20118503,0.92041343,SPLUS-n04n52
MKW8,220.15916,3.47639,0.027,0.040952567,0.94643366,SPLUS-n04n52
A3718,313.96457,-54.92,0.139,0.7469526,0.111719966,SPLUS-s43s33
RXCJ2104.9-5149,316.21332,-51.82333,0.049,0.05020908,0.99652535,SPLUS-s40s36
RXJ2139.9-4305,324.99374,-43.08722,0.376,0.3210875,0.17407046,SPLUS-s33s48
A3809,326.74084,-43.91,0.0623,0.76235205,0.122125566,SPLUS-s34s48
AS974,326.98126,-46.00528,0.0596,0.09735337,0.3277929,SPLUS-s35s47
RXCJ2151.0-0736,327.75317,-7.60867,0.276,1.003,0.5462532,SPLUS-s07s04
A2399,329.35751,-7.79472,0.0579,0.09360788,0.88615793,SPLUS-s07s05
A2402,329.62708,-9.80778,0.0809,0.078319974,0.5252257,SPLUS-s08s05
A2410,330.52457,-9.82444,0.0809,0.84026384,0.23013844,SPLUS-s08s06
A2415,331.41876,-5.59333,0.0581,0.35115966,0.12271451,SPLUS-s05s06
RXCJ2211.7-0350,332.93582,-3.82972,0.27,0.32401538,0.19653589,SPLUS-s04s07
AS1150,356.95251,-35.58861,0.261,0.7619766,0.14747468,SPLUS-s28s72
WHYJ235140-255948,357.91818,-25.99674,0.2042,0.16121577,0.7539672,SPLUS-s20s51
A2667,357.91959,-26.08361,0.23,0.5043774,0.099075146,SPLUS-s20s51
XCLASS287,358.06601,-26.091,0.275,0.58484834,0.040000502,SPLUS-s20s51
WHYJ235657-324330,359.23831,-32.72505,0.1212,0.09951036,0.8622159,SPLUS-s25s01
A4059,359.25958,-34.76056,0.0487,0.07601537,0.5479211,SPLUS-s27s01
WHYJ235712-323820,359.29947,-32.6388,0.2729,0.27259052,0.8379912,SPLUS-s25s01
