id,name,obs
1,A1069,
2,A1084,
3,A119,"SPLUS metade"
4,A1437,
5,A147,"grupo"
6,A151,"SPLUS pouco menos que metade"
7,A1631,
8,A1644,
9,A168,
10,A2415,
11,A2440,"SPLUS quase tudo"
12,A2457,"SPLUS um pouco menos que a metade"
13,A267,
14,A2717,
15,A2734,
16,A2870,
17,A2877,
18,A301,
19,A3112,
20,A3122,
21,A3128,
22,A3135,
23,A3158,
24,A3223,
25,A3266,
26,A3716,
27,A3733,
28,A3744,
29,A3809,
30,A3880,
31,A4038," e A4049"
32,A4059,
33,A954,"group, quase todo"
34,A957,
35,A970,
36,A978,
37,HCG97,"menos da metade"
38,IC1365,
39,MCXCJ0340-4542,"pobre"
40,MCXCJ0413.9-3805,
41,MKW1,"metade - pobre - observar 1 ou 2 campos"
42,MKW4,"observar 2 campos"
43,MKW8,
44,MS0116.3-0115,"duplo, quase todo - é um grupo com um cluster próximo"
45,MZ00407,"grupo"
46,NGC1132,"só metade"
47,RXJ2137.1+0026,
48,WBL074,
49,WBL288,
50,WHLJ012023-000444,
51,[YMV2007]2116,
52,[YMV2007]4713,"centro errado?"
53,[YMV2007]514,
54,[YMV2007]7604,"grupo entre várias estruturas maiores"
55,[YMV2007]7609,"grupo entre várias estruturas maiores"
56,[YMV2007]841,
