clsid,name,RA,DEC,zspec
41,WBL074,37.86906369,1.27074125,0.02251
43,A4049,357.898,-28.3666,0.0283
44,NGC3258,157.148,-35.642,0.0093
45,WBL288,162.44134478,0.35171497,0.03899
46,MKW1,150.1337,-2.9573,0.021
47,[YMV2007]3820,201.84586,1.26655,0.082009
48,[YMV2007]49,214.33151,2.34428,0.0551197
49,[YMV2007]4713,214.32782,0.09457,0.0526413
50,WBL550,227.88442497,1.66216339,0.00673
51,[YMV2007]7604,36.52796,-0.33192,0.0213109
52,[YMV2007]7609,17.09684,0.08978,0.0468803
53,WBL081,39.57169708,2.08227225,0.02192
54,A301,42.4,-31.1832,0.0223
55,[YMV2007]2116,46.37854,-0.40502,0.0281277
56,[YMV2007]514,24.30365,-0.50432,0.0561178
57,A978,155.123,-6.51682,0.0527
58,[YMV2007]4832,149.95647,-0.22369,0.0914
76,A2870,16.927374999999998,-46.908027777777775,0.0242
79,MZ00407,329.63342687499994,-28.61671480555556,0.02168214
80,A147,17.041666666666664,2.1666666666666665,0.0438
82,IIZw108,316.06249999999994,0.7,0.04889
