cluster_name ra dec x
A0147 1:02:22 +00:42:00 15.59166667 
A3389 6:09:14 -63:16:04 92.30833333 
A0119 0:45:21 -0:42:00 11.3375 
A0133 1:08:34 -18:54:11 17.14166667 
A0151 1:01:53 -16:13:11 15.47083333 
A0168 1:08:02 -0:42:00 17.00833333 
A0194 1:08:02 -0:42:00 17.00833333 
A0957 10:03:10 0:00:00 150.7916667 
A0970 10:07:45 -8:08:06 151.9375 
A1069 10:32:44 -6:46:57 158.1833333 
A1520 12:16:37 -12:11:01 184.1541667 
A1631 12:49:51 -12:11:01 192.4625 
A1644 12:47:38 -14:52:33 191.9083333 
A2399 21:54:33 -6:46:57 328.6375 
A2415 22:00:27 -4:04:25 330.1125 
A2457 22:29:17 -0:42:00 337.3208333 
A2717 0:00:04 -32:13:38 0.016666667 
A2734 0:06:03 -26:55:02 1.5125 
A2870 1:33:08 -41:26:57 23.28333333 
A2877 1:12:00 -47:58:16 18 
A3223 3:58:57 -30:54:08 59.7375 
A3266 4:30:46 -63:16:04 67.69166667
A3301 4:53:20 -36:11:28 73.33333333 
A3565 12:46:50 -22:55:02 191.7083333 
A3581 13:43:41 -20:14:34 205.9208333 
A3716 21:00:00 -49:16:05 315 
A3809 21:41:07 -42:45:30 325.2791667 
A4038 23:30:44 -22:55:02 352.6833333 
A4059 23:53:43 -30:54:08 358.4291667 
AM2002 2:30:55 -30:54:08 37.72916667 
Antlia 10:33:25 -34:38:06 158.3541667 
Fornax 2:49:47 -30:54:08 42.44583333 
Hydra 10:33:25 -34:38:06 158.3541667 
IIZw108 21:04:15 +00:42:00 316.0625 
MKW4 11:46:25 0:00:00 176.6041667 
MKW8 14:29:26 0:00:00 217.3583333 
MZ00407 21:48:33 -25:35:07 327.1375 
