name,clsid,z_cluster,R200_Mpc,peak_spec_m,peak_spec_m_density,peak_photo_m,peak_photo_m_density,z_offset_m,peak_spec_mi,peak_spec_mi_density,peak_photo_mi,peak_photo_mi_density,z_offset_mi,rmse_base_m,rmse_base_mi,rmse_om_m,rmse_om_mi,rel_om_m,rel_om_mi,rmse_omi_m,rmse_omi_mi,rel_omi_m,rel_omi_mi
A194,1,0.018,0.974335,0.01771024305527638,68.6825308360374,0.019782893040201005,12.270156776426715,0.002072649984924624,0.01767912542713568,32.68992223480555,0.020836632214070352,15.506994065323983,0.003157506786934671,0.008987064773492315,0.00856999024666245,0.007962627750140044,0.007775083426757841,-0.11399016799944366,-0.09275469364906018,0.007598707497404173,0.00755491420404158,-0.15448395122099862,-0.11844541398587799
NGC5004,2,0.0093,0.694731,0.008730603015075377,22.872680910392663,0.014604758155778896,5.577864396439746,0.005874155140703519,0.022660733668341707,27.51502821559346,0.02617095672361809,16.27410030712821,0.003510223055276384,0.00598926792708513,0.005653121037058582,0.0043326836729197645,0.004928456267407206,-0.27659211014318336,-0.12818844049170264,0.004165984971233304,0.00436779335793248,-0.3044250112115431,-0.2273660285531196
A3744,3,0.0381,1.204806,0.03778840703517588,24.268784934917143,0.04117403411055276,7.88436712000797,0.0033856270753768805,0.037760361809045226,16.647968492836863,0.039565481577889444,9.515562246725477,0.0018051197688442183,0.005824114148266525,0.006578618144291323,0.0061117869559072485,0.0075121721020009235,0.04939340135123309,0.14190730290672107,0.005735679246341938,0.006887584682245974,-0.015184266598021388,0.04696526400802878
RXJ2137.1+0026,4,0.051,0.671427,0.050787614090452265,25.217348057924532,0.055985640552763824,2.5670871055210887,0.0051980264623115585,0.05106783338693467,8.510306381875866,0.058460155819095486,5.551611230162798,0.007392322432160814,0.009850876185792258,0.010538233802972797,0.009857752176177367,0.012243023960545146,0.0006980080000422751,0.16177190499336175,0.010651451928407427,0.013509528108395832,0.08126949598349684,0.2819537278234275
A3880,5,0.057983,1.29534,0.05808788944723618,67.62340105291005,0.05422705477386934,10.092565346327946,-0.003860834673366842,0.0579808040201005,53.08374780029751,0.0536365512562814,12.539115616649251,-0.004344252763819098,0.011916363032863267,0.012626259442117697,0.01108772408356868,0.011544766267524244,-0.06953790741431293,-0.08565428102846458,0.011074788379524516,0.011493850916024619,-0.07062344869972771,-0.08968677788416718
A4038,7,0.0282,1.498758,0.029175376884422108,82.18884689058508,0.030717875693467338,25.782335965274097,0.00154249880904523,0.02916499713567839,61.54257645478105,0.031404574708542715,33.36267109663729,0.002239577572864325,0.007225420650093696,0.007219062308909854,0.006876576394673379,0.006972536849114152,-0.04828013098667041,-0.034149235627380266,0.006828273032538495,0.006971109352803452,-0.05496532821934056,-0.034346975479125026
A3581,8,0.022409,0.938288,0.021116924623115575,5.2433964218082245,0.02439565376884422,1.5337908499406179,0.0032787291457286455,0.021251909547738694,1.6820205219390099,0.025078658050251258,1.5646906496081188,0.003826748502512564,0.00625503136816906,0.006137213602282068,0.004318099049936557,0.005288558093031518,-0.30965988885191975,-0.13828026271319366,0.004161742410461278,0.00533340992322223,-0.33465682815920367,-0.13097208784796904
A3128,9,0.0599,1.632615,0.06032582914572864,99.27054076319921,0.06012941942713568,37.02948556967717,-0.00019640971859296447,0.06030387939698492,80.42480956544986,0.060429805608040205,42.92206733518634,0.0001259262110552828,0.00825956246663467,0.008890335881200225,0.008253426599709849,0.008872734827088224,-0.0007428803825393217,-0.0019797963032218047,0.00826594967288315,0.008903881984184382,0.000773310483973203,0.001523688549585889
A2457,10,0.0578,1.375618,0.059162571557788944,30.08247995328837,0.05963059880904523,7.499478881763565,0.00046802725125628247,0.05912421275376885,21.72081697374605,0.059525586070351764,9.180051440477907,0.00040137331658291614,0.010168726383556185,0.011282965898188205,0.010183895233350063,0.011316148733201487,0.001491715798195563,0.002940967411645777,0.010180422482851595,0.011310246324270551,0.0011502029707795498,0.0024178417561934173
A3104,12,0.073,0.699061,0.07375920100502513,6.17246865666846,0.06958794304522613,1.592311001824389,-0.004171257959799002,0.07504496984924623,4.685051327013038,0.07176228179899498,3.2332106537392034,-0.0032826880502512534,0.00620257613343795,0.007318012185556086,0.0062388234812681435,0.006113222310512498,0.005843918244676513,-0.16463348850682968,0.005992491513179889,0.006156433433504849,-0.03387054277745978,-0.15872872613465996
